company_name,us_ticker_name,local_ticker_name,index,headline,date,timestamp,breaking_recap,source,reporter,classification,confidence,reasoning,key_factors,news_sentiment,event_category,event_correlation,actionable_insights,original_headline,original_language,translated_language,url
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"[Analyst Rating] Panasonic H, maintain strong rating, target price raised to 2,700 yen (Major European brokerage)",10/31/25,16:12,,IFIS,Unknown,INSIGNIFICANT,HIGH,"The article reports an analyst's target price increase for Panasonic Holdings but fails to provide any reasoning or fundamental basis for this change. According to the classification criteria, 'Analyst ratings without explaining reasoning' are considered insignificant for trading purposes as they lack the necessary depth for actionable intelligence.","Analyst rating without explaining reasoning, Lack of fundamental justification for the target price increase, Falls under 'Unsubstantiated Ratings' criterion for insignificance, Does not provide actionable intelligence beyond a mere opinion",news_sentiment,event_category,event_correlation,None,"【アナリスト評価】パナソニックＨ、レーティング強気を継続、目標株価2,700円に引上げ（欧州系大手証券）",ja,en,https://finance.yahoo.co.jp/news/detail/25db9614ac4a346b5d17f8b3231317730b0f3db6
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"[Analyst Rating] Panasonic H, maintain strong rating, target price raised to 2,100 yen (Major US brokerage)",10/31/25,15:37,,IFIS,Unknown,INSIGNIFICANT,HIGH,"The article reports a major US brokerage maintaining a 'Strong Buy' rating and raising its target price for Panasonic Holdings. However, it explicitly lacks any explanation or reasoning from the brokerage for this decision. According to the provided criteria, 'Unsubstantiated Ratings: Analyst ratings without explaining reasoning' are classified as insignificant, as they do not provide the underlying rationale necessary for robust actionable intelligence.","Analyst rating and target price change reported., No explanation or reasoning provided for the brokerage's decision., Directly aligns with the 'Unsubstantiated Ratings' criterion for insignificant articles.",news_sentiment,event_category,event_correlation,None,"【アナリスト評価】パナソニックＨ、レーティング強気を継続、目標株価2,100円に引上げ（米系大手証券）",ja,en,https://finance.yahoo.co.jp/news/detail/81e01f86a2f8bc89b28b8e7cc0f162a6fe05ed67
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"【Financial Results Flash】Panasonic H, interim pre-tax 177,860 million. Below analyst expectations.",10/30/25,12:02,,IFIS,Unknown,SIGNIFICANT,HIGH,"The article reports Panasonic Holdings' interim financial results and a revised full-year forecast, both of which are significantly below analyst expectations and previous company guidance. This constitutes concrete, recent, and negative financial news directly impacting the company's outlook and stock price.","Interim pre-tax profit significantly below analyst consensus (-24.2%), Full-year pre-tax profit forecast revised downwards (-29.1% decrease), Revised full-year forecast significantly below previous guidance and analyst consensus (-13.1%), Directly impacts company valuation and investor sentiment",news_sentiment,event_category,event_correlation,"Traders might consider selling existing positions, shorting the stock, or avoiding new long positions due to the negative financial outlook and missed expectations, which could lead to a downward pressure on the stock price.","【決算速報】パナソニックＨ、中間税引前177,860百万。アナリスト予想を下回る",ja,en,https://finance.yahoo.co.jp/news/detail/f06b78abd5ce8456772489e484cce8e118ccee57
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,【FISCO Stock Comment】Panasonic Holdings---A holding company with major electronics manufacturer Panasonic at its core.,10/9/25,16:12,,FISCO,Unknown,INSIGNIFICANT,HIGH,"The article provides a generic company overview, historical facts, and broad strategic goals without any specific, recent, or actionable developments that could impact the stock price. It lacks concrete events like new product launches, financial results, or strategic partnerships.","Generic company description and product range, Historical information (founding date), Broad, ongoing strategic goals ('strengthening relationships', 'enhancing product competitiveness') lacking specificity or timeliness, Absence of specific, recent, and actionable events",news_sentiment,event_category,event_correlation,None,【FISCO銘柄コメント】パナソニックホールディングス---電機大手のパナソニックを中核とする持株会社,ja,en,https://finance.yahoo.co.jp/news/detail/097e650a8518b099501715160e247da82722bdf9
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"Panasonic HD stock price, rose by more than 30% in the past year !Quick review of price movements (October 3, 2025).",10/5/25,15:37,,LIMO,Unknown,INSIGNIFICANT,HIGH,"The article is a retrospective review of Panasonic Holdings' stock price movements over the past year, including specific past events that influenced these movements. It does not present any new, current, or forward-looking information that would constitute actionable intelligence for immediate trading decisions.","Retrospective analysis of past stock performance, Discussion of historical events (e.g., management reform, tariffs) as reasons for past fluctuations, not current news, Lack of new, forward-looking company-specific developments or catalysts, No actionable intelligence for immediate trading decisions",news_sentiment,event_category,event_correlation,None,パナソニックHD株価、この1年で3割強上昇 ！値動きをかんたんにおさらい（2025年10月3日）,ja,en,https://finance.yahoo.co.jp/news/detail/27e862cfc73f6a6f804f0f0cf01d8dd0bd9fa81e
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"Afternoon Session Comment No.2 TOYOTIRE, Panasonic H, Temona, Asahi, Good Life, Tokyu",10/3/25,12:02,,Traders Web,Unknown,INSIGNIFICANT,HIGH,"The article is a multi-company market commentary that reports on past stock movements and their perceived causes. For Panasonic, it explains a surge that already occurred due to 'favorable sentiment' regarding Tesla's sales, rather than providing new, forward-looking actionable intelligence. It is not primarily focused on Panasonic and is derivative in nature.","Multi-company consolidation article, not company-focused, Reports on past market reaction ('surged') rather than providing new, actionable intelligence for future trading, Content for PANASONIC HOLDINGS CORP is a small portion of the overall article, Derivative content (market commentary/summary)",news_sentiment,event_category,event_correlation,None,後場コメント No.2　ＴＯＹＯＴＩＲＥ、パナソニックＨ、テモナ、あさひ、グッドライフ、東急,ja,en,https://finance.yahoo.co.jp/news/detail/52a017e624832abcd79b22bec24fe4cd032c9aa4
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"Panasonic HD - Surges, possibly due to favorable view of Tesla car sales recovery, increased for the first time in 3 quarters",10/3/25,16:12,,Traders Web,Unknown,SIGNIFICANT,HIGH,"The article provides a direct, recent, and quantifiable positive catalyst for Panasonic Holdings' stock. It links the surge in Panasonic's stock price to the better-than-expected sales recovery of its major EV battery customer, Tesla, which directly impacts Panasonic's Energy segment revenue prospects.","Tesla's Q3 EV sales increased for the first time in three quarters and exceeded market expectations., Panasonic is a key supplier of EV batteries to Tesla., The market reacted positively to this news, causing Panasonic's stock to surge., Direct correlation between a major customer's performance and Panasonic's business outlook.",news_sentiment,event_category,event_correlation,"This information suggests a positive outlook for Panasonic's Energy segment due to increased demand from a key customer. A trader might consider this a bullish signal for Panasonic's stock, potentially leading to a buy or hold decision, or further investigation into the company's battery production capacity and future contracts.",パナソニックＨＤ－急騰　テスラ車の販売持ち直しを好感か　3四半期ぶりに増加,ja,en,https://finance.yahoo.co.jp/news/detail/1338287175cdbad441cdd70754069ea3cc40e793
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"[Analyst Forecast] Panasonic H, FY26 March ordinary profit forecast. Down 0.6% from previous week.",9/26/25,15:37,,IFIS,Unknown,SIGNIFICANT,HIGH,"The article provides specific, recent, and company-focused financial information regarding a downward revision in analyst consensus for recurring profit, which is now below the company's own forecast. This constitutes actionable intelligence for traders.","Downward revision (0.6%) of analyst consensus for FY26/3 recurring profit., Analyst consensus (391,664 million yen) is now below the company's own forecast (410,000 million yen)., Specific financial figures and a recent weekly change are provided, indicating a bearish view.",news_sentiment,event_category,event_correlation,"Traders could interpret the downward revision in analyst consensus, particularly when it falls below the company's guidance, as a bearish signal for future earnings, potentially influencing short-term trading decisions or position adjustments.",【アナリスト予想】パナソニックＨ、26年3月期経常予想。対前週0.6%下降。,ja,en,https://finance.yahoo.co.jp/news/detail/d7d463932c7c01687f0ffffc03e104d3fc30dac3
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"Panasonic continues to rise for 3 consecutive days, it is reported that Panasonic, the main operating company, will recruit for early retirement in October",9/25/25,12:02,,Kabushiki,Unknown,SIGNIFICANT,HIGH,"The article reports a significant corporate restructuring event, specifically an early retirement program targeting 10,000 employees within Panasonic's main operating company. This workforce reduction is a concrete step towards improving efficiency and profitability, which is highly actionable intelligence for traders. The market has already shown a positive reaction to this news.","Corporate restructuring (early retirement program), Significant workforce reduction (10,000 employees), Direct impact on cost structure and future profitability, Positive market reaction already observed",news_sentiment,event_category,event_correlation,"This information suggests potential for improved operational efficiency and profitability, which could be a positive catalyst for the stock price. Traders might consider this a favorable development for the company's financial health.",パナソニックが３日続伸、主力事業会社パナソニックは１０月に早期退職募集と報じられる,ja,en,https://finance.yahoo.co.jp/news/detail/3c6e405b4b91ba2713000cc7226069e657303f50
Panasonic Holdings Corporation,PCRHY,6752,TOPIX,"Afternoon Session Comment No.3 Seiko Giken, Sapeet, Asia Quest, HU Group, Panasonic H, Nissan Sec G",9/17/25,16:12,,Traders Web,Unknown,INSIGNIFICANT,HIGH,"The article is a multi-company consolidation piece, covering six different companies with brief summaries for each. While it mentions Panasonic Holdings' price revisions, these are scheduled for implementation over a year in the future (November 2025 to April 2026), making them not actionable for near-term trading. Furthermore, the article reports on a past market movement ('rebounded') rather than providing new, forward-looking actionable intelligence.","Multi-company consolidation article, diluting focus on Panasonic Holdings., Panasonic's price revisions are scheduled for implementation over a year in the future (Nov 2025 - Apr 2026), lacking near-term impact., The article reports on a past market movement ('rebounded') rather than providing new, actionable intelligence., Panasonic's section is brief and not the primary focus of the article.",news_sentiment,event_category,event_correlation,None,後場コメント No.3　精工技研、Ｓａｐｅｅｔ、アジアクエスト、ＨＵグループ、パナソニックＨ、日産証Ｇ,ja,en,https://finance.yahoo.co.jp/news/detail/f43b71057bef2faa4028b13138e6bb20dd65ad96
